Id;Facility Name;VAMC System Health Services;Facility description of services;Owner
vha_666QB-Primary care;'Evanston VA Clinic';'Primary care at VA Sheridan health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />1565 South Highway 150, Suite E<br /><strong><Evanston, WY 82930-5361>Phone:</strong> <a href="tel:+18777336128" aria-label="8 7 7. 7 3 3. 6 1 2 8.">877-733-6128</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. MT<br />Tuesday -  8:00 a.m. to 4:30 p.m. MT<br />Wednesday - 8:00 a.m. to 4:30 p.m. MT<br />Thursday -  8:00 a.m. to 2:30 p.m. MT<br />Friday -  Closed<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+18777336128" aria-label="8 7 7. 7 3 3. 6 1 2 8.">877-733-6128</a><br /></p>';'VA Sheridan health care'
vha_666GE-Telehealth;'Gillette VA Clinic';'Telehealth at VA Sheridan health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />604 Express Drive<br /><strong><Gillette, WY 82718-4112>Phone:</strong> <a href="tel:+18666211887" aria-label="8 6 6. 6 2 1. 1 8 8 7.">866-621-1887</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. MT<br />Tuesday -  8:00 a.m. to 4:30 p.m. MT<br />Wednesday - 8:00 a.m. to 4:30 p.m. MT<br />Thursday -  8:00 a.m. to 4:30 p.m. MT<br />Friday -  Closed<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+18666211887" aria-label="8 6 6. 6 2 1. 1 8 8 7.">866-621-1887</a><br /></p>';'VA Sheridan health care'
vha_666GE-Primary care;'Gillette VA Clinic';'Primary care at VA Sheridan health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />604 Express Drive<br /><strong><Gillette, WY 82718-4112>Phone:</strong> <a href="tel:+18666211887" aria-label="8 6 6. 6 2 1. 1 8 8 7.">866-621-1887</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. MT<br />Tuesday -  8:00 a.m. to 4:30 p.m. MT<br />Wednesday - 8:00 a.m. to 4:30 p.m. MT<br />Thursday -  8:00 a.m. to 4:30 p.m. MT<br />Friday -  Closed<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+18666211887" aria-label="8 6 6. 6 2 1. 1 8 8 7.">866-621-1887</a><br /></p>';'VA Sheridan health care'
vha_666GC-Mental health care;'Riverton VA Clinic';'Mental health care at VA Sheridan health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />2300 Rose Lane<br /><strong><Riverton, WY 82501-2257>Phone:</strong> <a href="tel:+18663382609" aria-label="8 6 6. 3 3 8. 2 6 0 9.">866-338-2609</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. MT<br />Tuesday -  8:00 a.m. to 4:30 p.m. MT<br />Wednesday - 8:00 a.m. to 4:30 p.m. MT<br />Thursday -  8:00 a.m. to 4:30 p.m. MT<br />Friday -  Closed<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+18663382609" aria-label="8 6 6. 3 3 8. 2 6 0 9.">866-338-2609</a><br /></p>';'VA Sheridan health care'
vha_666GC-Primary care;'Riverton VA Clinic';'Primary care at VA Sheridan health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />2300 Rose Lane<br /><strong><Riverton, WY 82501-2257>Phone:</strong> <a href="tel:+18663382609" aria-label="8 6 6. 3 3 8. 2 6 0 9.">866-338-2609</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. MT<br />Tuesday -  8:00 a.m. to 4:30 p.m. MT<br />Wednesday - 8:00 a.m. to 4:30 p.m. MT<br />Thursday -  8:00 a.m. to 4:30 p.m. MT<br />Friday -  Closed<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+18663382609" aria-label="8 6 6. 3 3 8. 2 6 0 9.">866-338-2609</a><br /></p>';'VA Sheridan health care'
vha_666GC-Social work;'Riverton VA Clinic';'Social work at VA Sheridan health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />2300 Rose Lane<br /><strong><Riverton, WY 82501-2257>Phone:</strong> <a href="tel:+18663382609" aria-label="8 6 6. 3 3 8. 2 6 0 9.">866-338-2609</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. MT<br />Tuesday -  8:00 a.m. to 4:30 p.m. MT<br />Wednesday - 8:00 a.m. to 4:30 p.m. MT<br />Thursday -  8:00 a.m. to 4:30 p.m. MT<br />Friday -  Closed<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+18663382609" aria-label="8 6 6. 3 3 8. 2 6 0 9.">866-338-2609</a><br /></p>';'VA Sheridan health care'
vha_666GF-Telehealth;'Rock Springs VA Clinic';'Telehealth at VA Sheridan health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />1401 Gateway Boulevard, Suite 1<br /><strong><Rock Springs, WY 82901-6727>Phone:</strong> <a href="tel:+18663812830" aria-label="8 6 6. 3 8 1. 2 8 3 0.">866-381-2830</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. MT<br />Tuesday -  8:00 a.m. to 4:30 p.m. MT<br />Wednesday - 8:00 a.m. to 4:30 p.m. MT<br />Thursday -  8:00 a.m. to 4:30 p.m. MT<br />Friday -  Closed<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+18663812830" aria-label="8 6 6. 3 8 1. 2 8 3 0.">866-381-2830</a><br /></p>';'VA Sheridan health care'
vha_666GF-Primary care;'Rock Springs VA Clinic';'Primary care at VA Sheridan health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />1401 Gateway Boulevard, Suite 1<br /><strong><Rock Springs, WY 82901-6727>Phone:</strong> <a href="tel:+18663812830" aria-label="8 6 6. 3 8 1. 2 8 3 0.">866-381-2830</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. MT<br />Tuesday -  8:00 a.m. to 4:30 p.m. MT<br />Wednesday - 8:00 a.m. to 4:30 p.m. MT<br />Thursday -  8:00 a.m. to 4:30 p.m. MT<br />Friday -  Closed<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+18663812830" aria-label="8 6 6. 3 8 1. 2 8 3 0.">866-381-2830</a><br /></p>';'VA Sheridan health care'
vha_666QC-Mental health care;'Worland VA Clinic';'Mental health care at VA Sheridan health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />510 South 15th Street, Suite D<br /><strong><Worland, WY 82401-3538>Phone:</strong> <a href="tel:+18774830370" aria-label="8 7 7. 4 8 3. 0 3 7 0.">877-483-0370</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. MT<br />Tuesday -  8:00 a.m. to 4:30 p.m. MT<br />Wednesday - 8:00 a.m. to 4:30 p.m. MT<br />Thursday -  8:00 a.m. to 2:30 p.m. MT<br />Friday -  Closed<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+18774830370" aria-label="8 7 7. 4 8 3. 0 3 7 0.">877-483-0370</a><br /></p>';'VA Sheridan health care'
vha_666QC-Primary care;'Worland VA Clinic';'Primary care at VA Sheridan health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />510 South 15th Street, Suite D<br /><strong><Worland, WY 82401-3538>Phone:</strong> <a href="tel:+18774830370" aria-label="8 7 7. 4 8 3. 0 3 7 0.">877-483-0370</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. MT<br />Tuesday -  8:00 a.m. to 4:30 p.m. MT<br />Wednesday - 8:00 a.m. to 4:30 p.m. MT<br />Thursday -  8:00 a.m. to 2:30 p.m. MT<br />Friday -  Closed<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+18774830370" aria-label="8 7 7. 4 8 3. 0 3 7 0.">877-483-0370</a><br /></p>';'VA Sheridan health care'
vha_575-Addiction and substance abuse treatment;'Grand Junction VA Medical Center';'Addiction and substance abuse treatment at VA Western Colorado health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong>Building 35</strong><br /><br /><strong><>Phone:</strong> <a href="tel:+19702422824" aria-label="9 7 0. 2 4 2. 2 8 2 4.">970-242-2824</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:00 p.m. MT<br />Tuesday -  8:00 a.m. to 4:00 p.m. MT<br />Wednesday - 8:00 a.m. to 4:00 p.m. MT<br />Thursday -  8:00 a.m. to 4:00 p.m. MT<br />Friday -  8:00 a.m. to 4:00 p.m. MT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+19702422824" aria-label="9 7 0. 2 4 2. 2 8 2 4.">970-242-2824</a><br /></p>';'VA Western Colorado health care'
vha_575-Audiology and speech;'Grand Junction VA Medical Center';'Audiology and speech at VA Western Colorado health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong>Building 1</strong><br />Second floor<br /><strong><>Phone:</strong> <a href="tel:+19702632802" aria-label="9 7 0. 2 6 3. 2 8 0 2.">970-263-2802</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. MT<br />Tuesday -  8:00 a.m. to 4:30 p.m. MT<br />Wednesday - 8:00 a.m. to 4:30 p.m. MT<br />Thursday -  8:00 a.m. to 4:30 p.m. MT<br />Friday -  8:00 a.m. to 4:30 p.m. MT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+19702632802" aria-label="9 7 0. 2 6 3. 2 8 0 2.">970-263-2802</a><br /></p>';'VA Western Colorado health care'
vha_575-Cancer care;'Grand Junction VA Medical Center';'Cancer care at VA Western Colorado health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong>Building 2</strong><br /><br /><strong><>Phone:</strong> <a href="tel:+19702420731" aria-label="9 7 0. 2 4 2. 0 7 3 1.">970-242-0731</a>, ext. 2082<br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:00 p.m. MT<br />Tuesday -  8:00 a.m. to 4:00 p.m. MT<br />Wednesday - 8:00 a.m. to 4:00 p.m. MT<br />Thursday -  8:00 a.m. to 4:00 p.m. MT<br />Friday -  8:00 a.m. to 4:00 p.m. MT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+19702420731" aria-label="9 7 0. 2 4 2. 0 7 3 1.">970-242-0731</a><br /></p>';'VA Western Colorado health care'
vha_575-Caregiver support;'Grand Junction VA Medical Center';'Caregiver support at VA Western Colorado health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />2121 North Avenue<br /><strong><Grand Junction, CO 81501>Phone:</strong> <a href="tel:+19702635080" aria-label="9 7 0. 2 6 3. 5 0 8 0.">970-263-5080</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. MT<br />Tuesday -  8:00 a.m. to 4:30 p.m. MT<br />Wednesday - 8:00 a.m. to 4:30 p.m. MT<br />Thursday -  8:00 a.m. to 4:30 p.m. MT<br />Friday -  8:00 a.m. to 4:30 p.m. MT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+19702635080" aria-label="9 7 0. 2 6 3. 5 0 8 0.">970-263-5080</a><br /></p>';'VA Western Colorado health care'
vha_575-Cardiology;'Grand Junction VA Medical Center';'Cardiology at VA Western Colorado health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong>Building 1</strong><br />Second floor<br /><strong><Room 2223>Phone:</strong> <a href="tel:+19702441302" aria-label="9 7 0. 2 4 4. 1 3 0 2.">970-244-1302</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:00 p.m. MT<br />Tuesday -  8:00 a.m. to 4:00 p.m. MT<br />Wednesday - 8:00 a.m. to 4:00 p.m. MT<br />Thursday -  8:00 a.m. to 4:00 p.m. MT<br />Friday -  8:00 a.m. to 4:00 p.m. MT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+19702441302" aria-label="9 7 0. 2 4 4. 1 3 0 2.">970-244-1302</a><br /></p>';'VA Western Colorado health care'
vha_575-Dental/oral surgery;'Grand Junction VA Medical Center';'Dental/oral surgery at VA Western Colorado health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong>Building 2</strong><br />Second floor<br /><strong><>Phone:</strong> <a href="tel:+19702420731" aria-label="9 7 0. 2 4 2. 0 7 3 1.">970-242-0731</a>, ext. 2808<br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:00 p.m. MT<br />Tuesday -  8:00 a.m. to 4:00 p.m. MT<br />Wednesday - 8:00 a.m. to 4:00 p.m. MT<br />Thursday -  8:00 a.m. to 4:00 p.m. MT<br />Friday -  8:00 a.m. to 4:00 p.m. MT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+19702420731" aria-label="9 7 0. 2 4 2. 0 7 3 1.">970-242-0731</a><br /></p>';'VA Western Colorado health care'
vha_575-Emergency care;'Grand Junction VA Medical Center';'Emergency care at VA Western Colorado health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong>Building 1</strong><br />First floor<br /><strong><>Phone:</strong> <a href="tel:+19702420731" aria-label="9 7 0. 2 4 2. 0 7 3 1.">970-242-0731</a><br /><strong>Hours:</strong> <br />Monday - 24/7<br />Tuesday -  24/7<br />Wednesday - 24/7<br />Thursday -  24/7<br />Friday -  24/7<br />Saturday - 24/7 <br />Sunday - 24/7 <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+19702420731" aria-label="9 7 0. 2 4 2. 0 7 3 1.">970-242-0731</a><br /></p>';'VA Western Colorado health care'
vha_575-Extended care and rehabilitation;'Grand Junction VA Medical Center';'Extended care and rehabilitation at VA Western Colorado health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong>Building 20</strong><br />Main hospital<br /><strong><>Phone:</strong> <a href="tel:+19702632800" aria-label="9 7 0. 2 6 3. 2 8 0 0.">970-263-2800</a>, ext. 1337<br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 5:00 p.m. MT<br />Tuesday -  8:00 a.m. to 5:00 p.m. MT<br />Wednesday - 8:00 a.m. to 5:00 p.m. MT<br />Thursday -  8:00 a.m. to 5:00 p.m. MT<br />Friday -  8:00 a.m. to 5:00 p.m. MT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+19702632800" aria-label="9 7 0. 2 6 3. 2 8 0 0.">970-263-2800</a><br /></p>';'VA Western Colorado health care'
vha_575-Homeless Veteran care;'Grand Junction VA Medical Center';'Homeless Veteran care at VA Western Colorado health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong>Building 1</strong><br />Room 1406<br /><strong><>Phone:</strong> <a href="tel:+19702441318" aria-label="9 7 0. 2 4 4. 1 3 1 8.">970-244-1318</a><br /><strong>Hours:</strong> <br />Monday - 1:00 p.m. to 4:00 p.m. MT<br />Tuesday -  1:00 p.m. to 4:00 p.m. MT<br />Wednesday - 1:00 p.m. to 4:00 p.m. MT<br />Thursday -  1:00 p.m. to 4:00 p.m. MT<br />Friday -  1:00 p.m. to 4:00 p.m. MT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+19702441318" aria-label="9 7 0. 2 4 4. 1 3 1 8.">970-244-1318</a><br /></p>';'VA Western Colorado health care'
vha_575-Intimate partner violence;'Grand Junction VA Medical Center';'Intimate partner violence at VA Western Colorado health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />2121 North Ave.<br /><strong><Grand Junction, CO 81501>Phone:</strong> <a href="tel:+19702420731" aria-label="9 7 0. 2 4 2. 0 7 3 1.">970-242-0731</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. MT<br />Tuesday -  8:00 a.m. to 4:30 p.m. MT<br />Wednesday - 8:00 a.m. to 4:30 p.m. MT<br />Thursday -  8:00 a.m. to 4:30 p.m. MT<br />Friday -  8:00 a.m. to 4:30 p.m. MT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+19702420731" aria-label="9 7 0. 2 4 2. 0 7 3 1.">970-242-0731</a><br /></p>';'VA Western Colorado health care'
vha_575-Laboratory and pathology;'Grand Junction VA Medical Center';'Laboratory and pathology at VA Western Colorado health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong>Building 1</strong><br />Second floor<br /><strong><>Phone:</strong> <a href="tel:+19702422812" aria-label="9 7 0. 2 4 2. 2 8 1 2.">970-242-2812</a><br /><strong>Hours:</strong> <br />Monday - 24/7<br />Tuesday -  24/7<br />Wednesday - 24/7<br />Thursday -  24/7<br />Friday -  24/7<br />Saturday - 24/7 <br />Sunday - 24/7 <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+19702422812" aria-label="9 7 0. 2 4 2. 2 8 1 2.">970-242-2812</a><br /></p>';'VA Western Colorado health care'
vha_575-LGBT Veteran care;'Grand Junction VA Medical Center';'LGBT Veteran care at VA Western Colorado health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong>Building 1</strong><br /><br /><strong><>Phone:</strong> <a href="tel:+19702420731" aria-label="9 7 0. 2 4 2. 0 7 3 1.">970-242-0731</a>, ext. 2766<br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. MT<br />Tuesday -  8:00 a.m. to 4:30 p.m. MT<br />Wednesday - 8:00 a.m. to 4:30 p.m. MT<br />Thursday -  8:00 a.m. to 4:30 p.m. MT<br />Friday -  8:00 a.m. to 4:30 p.m. MT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+19702420731" aria-label="9 7 0. 2 4 2. 0 7 3 1.">970-242-0731</a><br /></p>';'VA Western Colorado health care'
vha_575-Mental health care;'Grand Junction VA Medical Center';'Mental health care at VA Western Colorado health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong>Building 1</strong><br />Second floor<br /><strong><>Phone:</strong> <a href="tel:+19702632824" aria-label="9 7 0. 2 6 3. 2 8 2 4.">970-263-2824</a><br /><strong>Hours:</strong> <br />Monday - 24/7<br />Tuesday -  24/7<br />Wednesday - 24/7<br />Thursday -  24/7<br />Friday -  24/7<br />Saturday - 24/7 <br />Sunday - 24/7 <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+19702632824" aria-label="9 7 0. 2 6 3. 2 8 2 4.">970-263-2824</a><br /></p>';'VA Western Colorado health care'
vha_575-Military sexual trauma;'Grand Junction VA Medical Center';'Military sexual trauma at VA Western Colorado health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong>Building 1</strong><br /><br /><strong><>Phone:</strong> <a href="tel:+19702632800" aria-label="9 7 0. 2 6 3. 2 8 0 0.">970-263-2800</a>, ext.2346<br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. MT<br />Tuesday -  8:00 a.m. to 4:30 p.m. MT<br />Wednesday - 8:00 a.m. to 4:30 p.m. MT<br />Thursday -  8:00 a.m. to 4:30 p.m. MT<br />Friday -  8:00 a.m. to 4:30 p.m. MT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+19702632800" aria-label="9 7 0. 2 6 3. 2 8 0 0.">970-263-2800</a><br /></p>';'VA Western Colorado health care'
vha_575-Minority Veteran care;'Grand Junction VA Medical Center';'Minority Veteran care at VA Western Colorado health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong>Building 1</strong><br /><br /><strong><>Phone:</strong> <a href="tel:+19702420731" aria-label="9 7 0. 2 4 2. 0 7 3 1.">970-242-0731</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. MT<br />Tuesday -  8:00 a.m. to 4:30 p.m. MT<br />Wednesday - 8:00 a.m. to 4:30 p.m. MT<br />Thursday -  8:00 a.m. to 4:30 p.m. MT<br />Friday -  8:00 a.m. to 4:30 p.m. MT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+19702420731" aria-label="9 7 0. 2 4 2. 0 7 3 1.">970-242-0731</a><br /></p>';'VA Western Colorado health care'
vha_575-Neurology;'Grand Junction VA Medical Center';'Neurology at VA Western Colorado health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong>Building 1</strong><br />Second floor<br /><strong><Room 2019>Phone:</strong> <a href="tel:+19702632839" aria-label="9 7 0. 2 6 3. 2 8 3 9.">970-263-2839</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. MT<br />Tuesday -  8:00 a.m. to 4:30 p.m. MT<br />Wednesday - 8:00 a.m. to 4:30 p.m. MT<br />Thursday -  8:00 a.m. to 4:30 p.m. MT<br />Friday -  Closed<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+19702632839" aria-label="9 7 0. 2 6 3. 2 8 3 9.">970-263-2839</a><br /></p>';'VA Western Colorado health care'
vha_575-Nutrition, food, and dietary;'Grand Junction VA Medical Center';'Nutrition, food, and dietary at VA Western Colorado health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong>Building 1</strong><br />Third floor<br /><strong><Room 3219>Phone:</strong> <a href="tel:+19702632847" aria-label="9 7 0. 2 6 3. 2 8 4 7.">970-263-2847</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. MT<br />Tuesday -  8:00 a.m. to 4:30 p.m. MT<br />Wednesday - 8:00 a.m. to 4:30 p.m. MT<br />Thursday -  8:00 a.m. to 4:30 p.m. MT<br />Friday -  8:00 a.m. to 4:30 p.m. MT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+19702632847" aria-label="9 7 0. 2 6 3. 2 8 4 7.">970-263-2847</a><br /></p>';'VA Western Colorado health care'
